,,22/23,23/24,24/25,25/26,26/27,27/28
447,Max Christie,1017781,1719864,0,0,0,0
447,Josh Minott,1017781,1719864,2019699,2187699,0,0
447,Jabari Walker,1017781,1719864,2019699,0,0,0
447,Chima Moneke,1017781,1719864,0,0,0,0
447,Javon Freeman-Liberty,1017781,0,0,0,0,0
447,Mouhamadou Gueye,1017781,0,0,0,0,0
447,Adonis Arms,1017781,0,0,0,0,0
447,Kellan Grady,1017781,0,0,0,0,0
447,Pat Spencer,1017781,0,0,0,0,0
447,Trevion Williams,1017781,0,0,0,0,0
447,Javante McCoy,1017781,0,0,0,0,0
447,Fabian White,1017781,0,0,0,0,0
447,Jamaree Bouyea,1017781,0,0,0,0,0
447,Jamal Cain,1017781,0,0,0,0,0
447,Orlando Robinson,1017781,0,0,0,0,0
447,Isaiah Miller,1017781,0,0,0,0,0
447,Jared Rhoden,1017781,0,0,0,0,0
447,Gabe Brown,1017781,0,0,0,0,0
447,Matur Maker,1017781,0,0,0,0,0
469,Kyle Singler,999200,0,0,0,0,0
470,Nik Stauskas,702311,702311,702311,0,0,0
471,Juwan Morgan,576230,576230,576230,0,0,0
472,Malik Fitts,555217,555217,555217,0,0,0
473,Cole Swider,508891,547349,0,0,0,0
473,Vince Williams Jr,508891,547349,0,0,0,0
473,Kevon Harris,508891,547349,0,0,0,0
473,JD Davison,508891,1761752,0,0,0,0
473,Mfiondu Kabengele,508891,1761752,0,0,0,0
473,Alondes Williams,508891,1761752,0,0,0,0
473,Bryce McGowens,508891,1761752,0,0,0,0
473,Justin Lewis,508891,1761752,0,0,0,0
473,Isaiah Mobley,508891,1761752,0,0,0,0
473,RJ Nembhard,508891,1761752,0,0,0,0
473,Collin Gillespie,508891,1761752,0,0,0,0
473,Jack White,508891,1761752,0,0,0,0
473,Buddy Boeheim,508891,1761752,0,0,0,0
473,Lester Quinones,508891,1761752,0,0,0,0
473,Quinndary Weatherspoon,508891,1761752,0,0,0,0
473,Trevor Hudgins,508891,1761752,0,0,0,0
473,Moussa Diabate,508891,1761752,0,0,0,0
473,Scottie Pippen Jr,508891,1761752,0,0,0,0
473,Kenneth Lofton,508891,1761752,0,0,0,0
473,Darius Days,508891,1761752,0,0,0,0
473,Marcus Garrett,508891,1761752,0,0,0,0
473,AJ Green,508891,1761752,0,0,0,0
473,AJ Lawson,508891,1761752,0,0,0,0
473,Eric Paschall,508891,1761752,0,0,0,0
473,Trevor Keels,508891,1761752,0,0,0,0
473,Eugene Omoruyi,508891,1761752,0,0,0,0
473,Admiral Schofield,508891,1761752,0,0,0,0
473,Julian Champagnie,508891,1761752,0,0,0,0
473,Duane Washington Jr,508891,1761752,0,0,0,0
473,Keon Ellis,508891,1761752,0,0,0,0
473,Neemias Queta,508891,1761752,0,0,0,0
473,Dominick Barlow,508891,1761752,0,0,0,0
473,Jordan Hall,508891,1761752,0,0,0,0
